#{"t_start": 1768744498.457636, "env_id": "BipedalWalker-v3"}
r,l,t
309.684339,807,1808.97482
312.181806,780,1813.219125
314.396788,789,1817.522539
312.631041,786,1821.739489
311.783504,796,1826.096522
312.332267,782,1830.429563
311.540617,783,1834.710325
310.00251,788,1839.117663
310.989593,787,1843.491916
174.755346,732,1847.580168
309.038175,807,1852.089143
314.203773,801,1856.548816
311.533111,807,1860.922009
312.187518,777,1865.270156
310.82537,794,1869.692822
310.865251,785,1874.080875
312.408317,782,1878.37316
309.892716,791,1882.669963
307.933616,806,1887.105324
310.094037,784,1891.361238
311.039689,775,1895.58705
309.805783,799,1899.93899
313.056769,792,1904.13067
312.030202,812,1908.483084
311.234255,798,1912.82551
308.26709,798,1917.188877
311.991341,785,1921.478825
310.137795,817,1925.960847
312.551209,789,1930.291241
313.548476,789,1934.600342
311.192088,791,1938.823373
313.949719,780,1943.080159
311.698261,806,1947.461052
312.502337,794,1951.839752
313.101853,769,1955.95603
313.88733,776,1960.172899
312.261032,779,1964.426186
311.663196,794,1968.86205
314.44218,764,1973.127239
310.765293,779,1977.470982
314.615561,772,1981.731339
311.146184,769,1986.03527
314.387385,813,1990.547705
313.574077,825,1995.156291
312.328811,779,1999.46872
312.31087,786,2003.834812
314.856541,784,2008.199039
314.71175,783,2012.549794
315.951003,781,2016.887163
315.230844,785,2021.227299
313.079809,788,2025.619385
314.538808,785,2029.777478
313.804289,765,2033.856655
