#{"t_start": 1768746534.8382254, "env_id": "BipedalWalker-v3"}
r,l,t
291.475385,1062,1963.08208
-142.523511,185,1965.390457
-117.739544,101,1965.855088
-145.157105,281,1966.187211
-139.584866,259,1966.88829
-120.920676,118,1967.491469
-147.755431,404,1967.886177
-143.922306,324,1968.853443
-159.756846,620,1969.751086
-121.885113,140,1971.131897
257.978116,1469,1971.932311
-189.080122,977,1975.527034
-200.677044,1260,1978.105736
-106.799284,130,1980.817643
-112.921894,224,1981.182933
-142.064674,265,1981.77625
291.479802,993,1982.683082
-5.424236,386,1984.90877
-49.871184,348,1985.832186
293.132721,978,1986.950112
-143.677709,1600,1989.550875
-184.552004,973,1993.297376
294.102899,995,1995.713178
291.286674,981,1998.235277
292.163774,986,2000.630805
54.45761,1600,2003.243374
292.011276,953,2006.984992
292.20051,970,2009.420912
296.38249,961,2011.812841
281.220597,1089,2014.244415
289.601042,1031,2016.959081
287.03842,1037,2019.620908
287.537565,1013,2022.181891
289.409959,1001,2024.742767
290.384765,978,2027.20633
291.729346,972,2029.654459
286.153852,980,2032.020293
289.768934,991,2034.44583
293.615006,974,2036.89374
291.058069,1014,2039.341472
294.095631,1001,2041.853817
290.214043,999,2044.302845
292.832944,982,2046.742699
292.273174,952,2049.262164
291.175819,968,2051.601837
288.823317,1007,2053.989381
294.934182,959,2056.528639
290.206394,1014,2058.99236
293.228866,943,2061.52142
292.495144,968,2063.85777
289.788496,994,2066.253955
288.233424,1022,2068.67501
291.615363,982,2071.305255
295.173617,950,2073.807656
292.51524,978,2076.261481
297.470683,981,2078.774861
296.386752,957,2081.312985
290.202976,1008,2083.781894
294.845962,965,2086.344306
299.415582,942,2088.794624
296.191102,946,2091.240914
296.279975,970,2093.691152
295.70268,964,2096.173932
295.790528,958,2098.572349
300.791373,907,2100.987928
296.577649,931,2103.347074
296.094812,936,2105.719233
293.56988,957,2108.012255
294.062957,963,2110.336985
292.606452,980,2112.811107
296.269571,917,2115.287107
292.616002,973,2117.554353
293.637297,949,2119.93565
296.184045,910,2122.276625
294.122086,935,2124.544498
291.206766,973,2126.852966
292.671732,960,2129.229476
296.00856,915,2131.586633
294.566787,934,2133.892431
290.502508,971,2136.23687
295.928588,907,2138.676915
295.459181,904,2140.890353
296.172537,924,2143.221718
293.916073,936,2145.501361
